index	alt	CO	O	CO2	O2
141	112.59999999999927	1132928440.0851352	1199784269.3913045	232325041436.9444	252251948.73
142	112.69999999999928	1123404798.5178378	1191578674.2086954	230317327929.1088	250096466.3
143	112.79999999999927	1113881156.9505405	1183373079.0260868	228309614421.27316	247940983.87
144	112.89999999999928	1104357515.383243	1175167483.8434782	226301900913.4375	245785501.44
145	112.99999999999926	1094833873.815946	1166961888.6608696	224294187405.60187	243630019.01
146	113.09999999999926	1085310232.2486486	1158756293.478261	222286473897.76624	241474536.58
147	113.19999999999924	1075786590.6813514	1150550698.2956524	220278760389.93066	239319054.15
148	113.29999999999924	1066262949.114054	1142345103.1130435	218271046882.095	237163571.72
149	113.39999999999924	1056739307.5467569	1134139507.930435	216263333374.25934	235008089.29
150	113.49999999999923	1047215665.9794595	1125933912.7478259	214255619866.42374	232852606.86
151	113.59999999999924	1037692024.4121623	1117728317.5652175	212247906358.58813	230697124.43
152	113.69999999999922	1028168382.8448648	1109522722.382609	210240192850.7525	228541642.0
153	113.79999999999922	1018644741.2775676	1101317127.2	208232479342.91687	226386159.57
154	113.8999999999992	1009121099.7102703	1093111532.0173914	206224765835.08124	224230677.14
155	113.9999999999992	999597458.1429731	1084905936.8347826	204217052327.24564	222075194.71
156	114.0999999999992	990073816.5756756	1076700341.652174	202209338819.41	219919712.28
157	114.19999999999919	980550175.0083783	1068494746.4695653	200201625311.5744	217764229.85
158	114.2999999999992	971026533.441081	1060289151.2869564	198193911803.7388	215608747.42
159	114.39999999999918	961502891.8737838	1052083556.1043477	196186198295.90314	213453264.99
160	114.49999999999918	951979250.3064864	1043877960.9217392	194178484788.0675	211297782.56
161	114.59999999999916	942455608.7391893	1035672365.7391305	192170771280.23187	209142300.13
162	114.69999999999916	932931967.171892	1027466770.5565217	190163057772.39624	206986817.7
163	114.79999999999916	923408325.6045946	1019261175.373913	188155344264.56064	204831335.27
164	114.89999999999917	913884684.0372972	1011055580.1913043	186147630756.725	202675852.84
165	114.92	904361042.47	1002849985.0086957	184139917248.88934	200520370.41
166	114.99999999999916	896288254.44	994644389.8260869	182132203741.05374	198364887.98
167	115.09999999999914	888215466.4100002	986438794.6434783	180124490233.21814	196209405.55
168	115.18	885524537.0666668	983703596.2492752	179455252397.27292	194053923.12
