alt	CO	O	CO2	N	N2	O2
155.0	1970000000.0	3980000000.0	3580000000.0	56800000.0	718000000.0	2449018.4475986413
155.55762617815952	1863198544.6547492	3835940365.3342266	3265043733.4678373	54722529.95553657	669780059.7525451	2265574.1580168842
157.697985064	1505891374.714496	3332486751.506859	2306700271.0310917	47598446.136731714	515135931.8531772	1692364.423661235
159.21350892636497	1296632410.3027406	3019541440.2982917	1818446933.6621382	43259339.20502199	429949505.2026812	1369899.8706174423
160.0	1200000000.0	2870000000.0	1610000000.0	41200000.0	392000000.0	1222541.024088789
160.96301673462852	1091349896.8928857	2697939484.9112253	1386140811.1404347	38833816.7000795	350307481.39000416	1072480.4442782963
162.77057543654828	913355749.0289552	2404916444.7620053	1045429999.7413596	34810543.49493724	284374952.1267256	877678.0016524598
164.3892043985145	779208875.5785128	2171719327.710994	813177036.345562	31616857.778339975	236707799.81910035	697191.0955196703
165.0	734000000.0	2090000000.0	740000000.0	30500000.0	221000000.0	643723.6423760591
166.99359391710928	604294931.2571181	1844450188.3454623	544830249.4002259	27153732.41584645	176791108.49340054	514423.4737951196
168.72616515083322	510978520.5978498	1655546807.007528	419518069.0170948	24592834.127469394	145955317.64534664	402740.2382706824
170.0	452000000.0	1530000000.0	347000000.0	22900000.0	127000000.0	349277.4876898515
171.0069465604455	410291156.49609125	1438176862.7753112	298461701.9262191	21667263.838778496	113882538.71353011	315217.19935509376
172.77963073386857	346140088.12041026	1291089911.307832	228652681.1155336	19693142.676342472	94219410.69001774	246777.41872165535
174.59019935034084	291166315.99376804	1157978239.8732564	174346877.19388458	17885774.24886976	77871458.11049725	193193.5753180955
175.0	280000000.0	1130000000.0	164000000.0	17500000.0	74600000.0	182814.63057182916
176.36560724189167	245770174.85577127	1041954426.8365068	133784513.03272983	16267008.861606682	64653328.81325755	151247.2886200058
178.31161893253326	204174974.7327619	929171882.8656883	100385075.19451031	14654317.29589514	52761049.63798116	118398.27377933465
180.0	174000000.0	842000000.0	78500000.0	13400000.0	44300000.0	118398.27377933465
185.0	109000000.0	631000000.0	37800000.0	10400000.0	26700000.0	118398.27377933465
190.0	68300000.0	475000000.0	18300000.0	8080000.0	16200000.0	118398.27377933465
195.0	43000000.0	360000000.0	8870000.0	6320000.0	9910000.0	118398.27377933465
200.0	27100000.0	273000000.0	4320000.0	4960000.0	6110000.0	118398.27377933465
205.0	17200000.0	208000000.0	2110000.0	3900000.0	3780000.0	118398.27377933465
210.0	10900000.0	159000000.0	1030000.0	3080000.0	2350000.0	118398.27377933465
215.0	6890000.0	122000000.0	506000.0	2430000.0	1470000.0	118398.27377933465
220.0	4380000.0	93300000.0	249000.0	1930000.0	922000.0	118398.27377933465
225.0	2780000.0	71700000.0	122000.0	1530000.0	580000.0	118398.27377933465
230.0	1770000.0	55100000.0	60200.0	1220000.0	366000.0	118398.27377933465
235.0	1130000.0	42400000.0	29700.0	966000.0	231000.0	118398.27377933465
240.0	720000.0	32700000.0	14600.0	769000.0	146000.0	118398.27377933465
245.0	459000.0	25300000.0	7240.0	613000.0	91900.0	118398.27377933465
